osm_id;nombre;operador;voltaje;latitud;longitud
370332026;SET Rabassa;;"132000;20000";38,3571317;-0,5162237
370409950;;;;38,8452657;-0,519846
371336052;;;;38,6424267;0,0455738
371345874;;;;38,6414642;0,0429384
371538352;;;;38,6397186;0,0410429
373890861;;;;38,6402407;0,0408961
374601524;;;;38,6427351;0,0585381
374668789;;;;38,6421362;0,0619651
375059943;;;;38,6418236;0,0683712
375126078;;;;38,641401;0,0713804
375339032;Subestación Tranformadora Dénia;Iberdrola;"20000;132000";38,8487302;0,0494535
375836232;;;;38,6501281;0,0760357
376071729;;;;38,6507443;0,0749804
376071730;;;;38,6508116;0,0749544
376688584;;;;38,647326;0,0535214
376807007;;;;38,647132;0,0468925
377163289;;;132000;39,9102022;-1,5465245
377169500;San Martín de Boniches;;132000;39,894548;-1,5631346
377520170;;;;38,6410751;0,0380334
377578747;;;;38,6393304;0,039299
377578748;;;;38,6393935;0,0393512
377709127;SET Terra Mitica;;"132000;20000";38,5746238;-0,1493816
377831211;;;;38,6414418;0,0361349
378458563;;;;38,6398276;0,0348711
379908824;Muela Cubillo;;132000;39,9994906;-1,4579873
382826550;;;;38,6459176;0,0628256
383416884;;;;38,6521159;0,0697853
383958836;Subestación Jumilla;Iberdrola Distribución Eléctrica;"132000;20000;11000";38,4634371;-1,329354
384554326;;;;38,6370476;0,0344096
384888518;Subestación PE La Torrecilla;;"220000;30000";40,7920338;-0,9696697
385313026;;;;39,3153563;-0,4952811
386018749;;;;38,6504544;0,0516958
387873743;;;;38,0049423;-0,6734149
394471471;;;;38,8489855;-0,1616918
395100088;SET Ontinyent;;"132000;66000;20000";38,8049165;-0,6125664
397412044;;;;38,7838405;-0,0101674
399678737;;;;37,8967602;-0,8306471
403073865;Subestación Molina de Segura;Iberdrola Distribución Eléctrica;"132000;20000";38,0772283;-1,1988843
403073884;Subestación Cieza;Iberdrola Distribución Eléctrica;"132000;20000";38,2478954;-1,4078313
404792075;;Iberdrola Distribución Eléctrica;"66000;20000";38,4665573;-1,330735
