osm_id;tipo_apoyo;nombre;operador;voltaje;latitud;longitud
1411534101;tower;;;;39,9575381;0,000002
1411534104;tower;;;;39,9577562;-0,0397451
1411534106;tower;;;;39,9578012;-0,0026517
1411534108;tower;;;;39,9578083;0,0000875
1411534112;tower;;;;39,9578781;-0,0020456
1411534114;tower;;;;39,9578892;-0,0003428
1411534115;tower;;;;39,9581349;-0,0607673
1411534116;tower;;;;39,9581912;-0,0498844
1411534118;tower;;;;39,9582875;-0,0899589
1411534123;tower;;;;39,9584138;-0,0368573
1411534125;tower;;;;39,9583036;-0,0034495
1411534127;tower;;;;39,9592276;-0,0329615
1411534128;tower;;;;39,9592598;-0,0052973
1411534130;tower;;;;39,9596812;-0,0530041
1411534134;tower;;;;39,9598275;-0,0538377
1411534135;tower;;;;39,9599209;-0,053505
1411534136;tower;;;;39,9592729;-0,0031838
1411534138;tower;;;;39,9603397;-0,0576565
1411534141;tower;;;;39,9604586;-0,028027
1411534143;tower;;;;39,9605144;-0,0088014
1411534148;tower;;;;39,9605401;-0,0354671
1411534149;tower;;;;39,9607315;-0,0502984
1411534150;tower;;;;39,9607591;-0,0042389
1411534152;tower;;;;39,9608738;-0,0314355
1411534154;tower;;;;39,9611057;-0,0063748
1411534157;tower;;;;39,9612976;-0,0050557
1411534163;tower;;;;39,961299;-0,024661
1411534164;tower;;;;39,961328;-0,0405407
1411534165;tower;;;;39,9613526;-0,0256712
1411534166;tower;;;;39,9614959;-0,0566752
1411534168;tower;;;;39,9615286;-0,047072
1411534170;tower;;;;39,9615976;-0,0122897
1411534178;tower;;;;39,9616813;-0,0223385
1411534179;tower;;;;39,9619362;-0,0908793
1411534180;tower;;;;39,9619527;-0,0219946
1411534181;tower;;;;39,9620773;-0,0454869
1411534183;tower;;;;39,9621025;-0,0167009
1411534185;tower;;;;39,9623128;-0,0438616
1411534193;tower;;;;39,962471;-0,017755
1411534194;tower;;;;39,962485;-0,0099684
1411534195;tower;;;;39,9627447;-0,0075543
1411534197;tower;;;;39,9628058;-0,0501061
1411534198;tower;;;;39,9629309;-0,0139479
1411534199;tower;;;;39,9631858;-0,0925725
1411534208;tower;;;;39,963252;-0,058861
1411534209;tower;;;;39,9633968;-0,0539493
1411534210;tower;;;;39,963805;-0,0405781
1411534211;tower;;;;39,964596;-0,009822
1411534212;tower;;;;39,9645754;-0,0574581
1411534219;tower;;;;39,964908;-0,0923224
1411534222;tower;;;;39,9651288;-0,0376378
1411534224;tower;;;;39,9652685;-0,0613816
1411534225;tower;;;;39,9654964;-0,0611564
1411534226;tower;;;;39,9665092;-0,0121402
1411534227;tower;;;;39,9665891;-0,034338
1411534236;tower;;;;39,9668401;-0,0653606
1411534238;tower;;;;39,9669559;-0,0937629
1411534239;tower;;;;39,9671884;-0,0649198
1411534240;tower;;;;39,9674935;-0,0699535
1411534242;tower;;;;39,9675039;-0,0938357
1411534243;tower;;;;39,967512;-0,0936562
1411534249;tower;;;;39,9675732;-0,0948092
1411534251;tower;;;;39,9677811;-0,031713
1411534252;tower;;;;39,9679652;-0,0956627
1411534254;tower;;;;39,9682395;-0,0142411
1411534257;tower;;;;39,9682972;-0,096735
1411534260;tower;;;;39,968323;-0,0964637
1411534271;tower;;;;39,9684417;-0,0970514
1411534273;tower;;;;39,9685855;-0,0973615
1411534274;tower;;;;39,9686369;-0,0742847
1411534275;tower;;;;39,9687618;-0,0692197
1411534276;tower;;;;39,9690536;-0,0288854
1411534278;tower;;;;39,9692649;-0,0730097
1411534293;tower;;;;39,9693871;-0,0769216
1411534296;tower;;;;39,9697927;-0,0161408
1411534297;tower;;;;39,9699999;-0,0752983
1411534298;tower;;;;39,9700278;-0,0950005
1411534299;tower;;;;39,9703682;-0,0798754
1411534300;tower;;;;39,9703898;-0,0953868
1411534312;tower;;;;39,9705259;-0,0256163
1411534316;tower;;;;39,9706519;-0,0770598
1411534320;tower;;;;39,9708445;-0,023728
1411534321;tower;;;;39,9715839;-0,0183273
1411534322;tower;;;;39,9716864;-0,0827605
1411534323;tower;;;;39,9718418;-0,0226836
1411534332;tower;;;;39,9718953;-0,0915811
1411534335;tower;;;;39,9721088;-0,0920786
1411534339;tower;;;;39,9721695;-0,0811958
1411534343;tower;;;;39,9725709;-0,0861891
1411534345;tower;;;;39,9725747;-0,0888648
1411534346;tower;;;;39,972664;-0,019609
1411534352;tower;;;;39,9731152;-0,0849116
1411534355;tower;;;;39,9731177;-0,0198608
1411534358;tower;;;;39,9731293;-0,0880619
1411534362;tower;;;;39,9740059;-0,0178036
1411534366;tower;;;;39,9758185;-0,0157469
1411534368;tower;;;;39,9769109;-0,0162763
1411534372;tower;;;;39,9771594;-0,0148526
1411534375;tower;;;;39,9772714;-0,0149636
1411534378;tower;;;;39,9773166;-0,0151381
1411534382;tower;;;;39,9778225;-0,0157629
1411534386;tower;;;;39,9779604;-0,0143166
1411916143;tower;;;;39,9559687;-0,1356723
1411916147;tower;;;;40,0031442;-0,0868788
1411916149;tower;;;;40,0034141;-0,0892104
1411916151;tower;;;;40,0034929;-0,0862518
1411916152;tower;;;;40,0037507;-0,0921235
1411916156;tower;;;;40,0040858;-0,0950055
1411916157;tower;;;;40,0041355;-0,1052343
1411916158;tower;;;;40,0042833;-0,095366
1411916159;tower;;;;40,0537264;-0,0470663
1411916160;tower;;;;40,0672615;-0,0300193
1411916161;tower;;;;40,0894621;-0,006532
1411916162;tower;;;;40,0953851;-0,0002594
1411916163;tower;;;;40,1518009;0,0319247
1411916165;tower;;;;40,1603978;0,0338732
1411916166;tower;;;;40,2802781;0,0741922
